user_id,segment,cluster_hdbscan,host_lane,expected_total_margin,expected_host_hours,expected_dollars_per_hour
A39491,DT_FREQUENCY,5,FREQUENCY_GROWTH,11091.598762526986,0.5,22183.197525053973
A40484,STAYERS,5,GROWTH,16470.855465626693,0.75,21961.14062083559
A49436,DT_FREQUENCY,5,FREQUENCY_GROWTH,9741.56170058896,0.5,19483.12340117792
A32879,DT_FREQUENCY,5,FREQUENCY_GROWTH,9645.182680377682,0.5,19290.365360755364
A47939,DT_FREQUENCY,5,FREQUENCY_GROWTH,9438.377434228138,0.5,18876.754868456275
A14873,STAYERS,7,GROWTH,14038.25,0.75,18717.666666666668
A3731,STAYERS,7,GROWTH,13652.599989915632,0.75,18203.466653220843
A25193,STAYERS,7,GROWTH,13224.849991201778,0.75,17633.13332160237
A16276,DT_FREQUENCY,5,FREQUENCY_GROWTH,8512.029128070812,0.5,17024.058256141623
A28614,DT_FREQUENCY,5,FREQUENCY_GROWTH,7872.282528506164,0.5,15744.565057012329
A36303,DT_FREQUENCY,5,FREQUENCY_GROWTH,7769.270838824931,0.5,15538.541677649862
A54096,STAYERS,7,GROWTH,11597.006438576407,0.75,15462.67525143521
A11850,DT_FREQUENCY,5,FREQUENCY_GROWTH,7718.134749266887,0.5,15436.269498533775
A13008,DT_FREQUENCY,5,FREQUENCY_GROWTH,7660.615668659303,0.5,15321.231337318606
A40691,DT_FREQUENCY,5,FREQUENCY_GROWTH,7549.43863224853,0.5,15098.87726449706
A51174,STAYERS,7,GROWTH,11261.927727804783,0.75,15015.903637073045
A24026,STAYERS,7,GROWTH,11203.140259558251,0.75,14937.520346077668
A878,STAYERS,7,GROWTH,11099.89136933079,0.75,14799.85515910772
A40271,STAYERS,5,GROWTH,11080.680931521027,0.75,14774.241242028036
A29113,DT_FREQUENCY,5,FREQUENCY_GROWTH,7320.777769514626,0.5,14641.555539029252
A3607,DT_FREQUENCY,5,FREQUENCY_GROWTH,7054.165611197686,0.5,14108.331222395373
A38691,DT_FREQUENCY,5,FREQUENCY_GROWTH,6985.436658369086,0.5,13970.873316738172
A49255,DT_FREQUENCY,5,FREQUENCY_GROWTH,6982.93081868768,0.5,13965.86163737536
A22711,DT_FREQUENCY,5,FREQUENCY_GROWTH,6967.8322220389655,0.5,13935.664444077931
A36834,STAYERS,7,GROWTH,10214.46265566507,0.75,13619.28354088676
A40185,DT_FREQUENCY,5,FREQUENCY_GROWTH,6713.836820716834,0.5,13427.673641433668
A23316,DT_FREQUENCY,5,FREQUENCY_GROWTH,6712.886442547629,0.5,13425.772885095257
A2010,STAYERS,7,GROWTH,9922.45474913407,0.75,13229.939665512095
A5743,DT_FREQUENCY,5,FREQUENCY_GROWTH,6570.642892198229,0.5,13141.285784396458
A22967,DT_FREQUENCY,5,FREQUENCY_GROWTH,6517.179241666554,0.5,13034.358483333108
A1347,DT_FREQUENCY,5,FREQUENCY_GROWTH,6404.282669112207,0.5,12808.565338224415
A127,DT_FREQUENCY,5,FREQUENCY_GROWTH,6393.841166652624,0.5,12787.682333305249
A41628,STAYERS,7,GROWTH,9493.024488435189,0.75,12657.365984580252
A51451,DT_FREQUENCY,5,FREQUENCY_GROWTH,6308.05375979147,0.5,12616.10751958294
A54857,DT_FREQUENCY,5,FREQUENCY_GROWTH,6278.766980119979,0.5,12557.533960239958
A16300,STAYERS,7,GROWTH,9377.389098997168,0.75,12503.185465329558
A31136,STAYERS,7,GROWTH,9355.328826840034,0.75,12473.771769120045
A39912,DT_FREQUENCY,5,FREQUENCY_GROWTH,6234.046284871468,0.5,12468.092569742936
A49499,DT_FREQUENCY,5,FREQUENCY_GROWTH,6222.56063031599,0.5,12445.12126063198
A42324,STAYERS,7,GROWTH,9331.786904761535,0.75,12442.382539682047
A35778,DT_FREQUENCY,5,FREQUENCY_GROWTH,6109.8134634221215,0.5,12219.626926844243
A54009,DT_FREQUENCY,5,FREQUENCY_GROWTH,6098.415774964883,0.5,12196.831549929766
A25002,DT_FREQUENCY,5,FREQUENCY_GROWTH,6071.430484321977,0.5,12142.860968643954
A34358,DT_FREQUENCY,5,FREQUENCY_GROWTH,6050.798962116366,0.5,12101.597924232732
A24254,DT_FREQUENCY,5,FREQUENCY_GROWTH,6007.170999445981,0.5,12014.341998891961
A33212,STAYERS,5,GROWTH,8999.114975254593,0.75,11998.819967006124
A17626,DT_FREQUENCY,5,FREQUENCY_GROWTH,5985.689054110611,0.5,11971.378108221223
A10774,STAYERS,7,GROWTH,8892.679416743542,0.75,11856.905888991389
A30362,STAYERS,7,GROWTH,8867.537691117002,0.75,11823.383588156003
A40317,DT_FREQUENCY,5,FREQUENCY_GROWTH,5902.237902428682,0.5,11804.475804857364
A17495,STAYERS,7,GROWTH,8848.445314463565,0.75,11797.92708595142
A48998,STAYERS,7,GROWTH,8817.095682468016,0.75,11756.127576624021
A39401,STAYERS,7,GROWTH,8802.070984166161,0.75,11736.094645554882
A36947,DT_FREQUENCY,5,FREQUENCY_GROWTH,5862.058510179735,0.5,11724.11702035947
A43254,STAYERS,7,GROWTH,8776.243374456517,0.75,11701.65783260869
A44438,DT_FREQUENCY,5,FREQUENCY_GROWTH,5795.433270994193,0.5,11590.866541988386
A32079,DT_FREQUENCY,5,FREQUENCY_GROWTH,5786.555257455833,0.5,11573.110514911667
A29714,DT_FREQUENCY,5,FREQUENCY_GROWTH,5768.173975205942,0.5,11536.347950411884
A48508,STAYERS,7,GROWTH,8620.701373679329,0.75,11494.268498239106
A14205,STAYERS,7,GROWTH,8567.132529435012,0.75,11422.843372580015
A39867,DT_FREQUENCY,5,FREQUENCY_GROWTH,5693.667633117288,0.5,11387.335266234575
A11242,DT_FREQUENCY,5,FREQUENCY_GROWTH,5680.493919567408,0.5,11360.987839134816
A18831,STAYERS,7,GROWTH,8502.453636259705,0.75,11336.604848346273
A16550,STAYERS,7,GROWTH,8473.963333304404,0.75,11298.617777739206
A13797,STAYERS,7,GROWTH,8433.189928370155,0.75,11244.253237826873
A29980,STAYERS,7,GROWTH,8418.522363577602,0.75,11224.696484770137
A37811,STAYERS,7,GROWTH,8313.77555335041,0.75,11085.03407113388
A34703,DT_FREQUENCY,5,FREQUENCY_GROWTH,5535.17431740858,0.5,11070.34863481716
A8967,DT_FREQUENCY,5,FREQUENCY_GROWTH,5496.828425553925,0.5,10993.65685110785
A35858,DT_FREQUENCY,5,FREQUENCY_GROWTH,5488.500394795932,0.5,10977.000789591864
A25545,STAYERS,5,GROWTH,8201.908621239474,0.75,10935.878161652632
A22620,STAYERS,7,GROWTH,8183.63670458121,0.75,10911.51560610828
A30923,STAYERS,7,GROWTH,8181.202150680834,0.75,10908.269534241112
A14954,STAYERS,7,GROWTH,8180.939148112694,0.75,10907.918864150259
A39726,STAYERS,7,GROWTH,8175.107535677504,0.75,10900.143380903339
A19146,STAYERS,7,GROWTH,8128.164638522601,0.75,10837.552851363469
A34401,DT_FREQUENCY,5,FREQUENCY_GROWTH,5403.095279695956,0.5,10806.190559391913
A15914,STAYERS,7,GROWTH,8006.148047084759,0.75,10674.86406277968
A44564,DT_FREQUENCY,5,FREQUENCY_GROWTH,5327.807109872347,0.5,10655.614219744693
A43120,DT_FREQUENCY,5,FREQUENCY_GROWTH,5294.167643187513,0.5,10588.335286375026
A10468,DT_FREQUENCY,5,FREQUENCY_GROWTH,5281.897285493545,0.5,10563.79457098709
A21091,DT_FREQUENCY,5,FREQUENCY_GROWTH,5280.494922370607,0.5,10560.989844741214
A38512,STAYERS,7,GROWTH,7877.034004590502,0.75,10502.71200612067
A33982,STAYERS,7,GROWTH,7828.828509224973,0.75,10438.438012299963
A28242,DT_FREQUENCY,5,FREQUENCY_GROWTH,5194.035960783635,0.5,10388.07192156727
A45053,DT_FREQUENCY,5,FREQUENCY_GROWTH,5186.02131686217,0.5,10372.04263372434
A48364,DT_FREQUENCY,5,FREQUENCY_GROWTH,5184.1150340269205,0.5,10368.230068053841
A17024,STAYERS,7,GROWTH,7731.680192371339,0.75,10308.906923161785
A38475,DT_CONVERSION,5,STAYERS_WARM,10284.885541089172,1.0,10284.885541089172
A21856,DT_FREQUENCY,5,FREQUENCY_GROWTH,5104.562103705943,0.5,10209.124207411885
A15961,STAYERS,7,GROWTH,7649.475147724029,0.75,10199.300196965372
A10143,DT_FREQUENCY,5,FREQUENCY_GROWTH,5080.678875719495,0.5,10161.35775143899
A53682,STAYERS,7,GROWTH,7615.598660157453,0.75,10154.131546876604
A47723,STAYERS,7,GROWTH,7578.358440940778,0.75,10104.47792125437
A50322,DT_FREQUENCY,5,FREQUENCY_GROWTH,5028.653796242633,0.5,10057.307592485266
A44661,DT_FREQUENCY,5,FREQUENCY_GROWTH,5027.164578092969,0.5,10054.329156185939
A36772,STAYERS,7,GROWTH,7532.842329278919,0.75,10043.789772371892
A19591,STAYERS,7,GROWTH,7521.37440072292,0.75,10028.499200963894
A21547,STAYERS,7,GROWTH,7517.464329882487,0.75,10023.285773176649
A41236,STAYERS,7,GROWTH,7516.170489385758,0.75,10021.560652514343
A25658,STAYERS,7,GROWTH,7488.2702429733945,0.75,9984.360323964525
A54661,DT_FREQUENCY,5,FREQUENCY_GROWTH,4967.547774686608,0.5,9935.095549373216
A16271,DT_FREQUENCY,5,FREQUENCY_GROWTH,4956.16622936613,0.5,9912.33245873226
A23521,STAYERS,7,GROWTH,7432.570423071792,0.75,9910.093897429057
A24046,STAYERS,7,GROWTH,7412.661734334156,0.75,9883.548979112207
A9556,STAYERS,7,GROWTH,7408.5714274606225,0.75,9878.095236614163
A26454,DT_CONVERSION,5,STAYERS_WARM,9854.450014921636,1.0,9854.450014921636
A39889,DT_FREQUENCY,5,FREQUENCY_GROWTH,4926.308856796906,0.5,9852.617713593812
A33757,STAYERS,7,GROWTH,7358.298801288246,0.75,9811.065068384329
A38757,STAYERS,7,GROWTH,7355.4984848484855,0.75,9807.331313131313
A11849,DT_FREQUENCY,5,FREQUENCY_GROWTH,4902.787294462692,0.5,9805.574588925385
A36764,DT_FREQUENCY,5,FREQUENCY_GROWTH,4875.449704903585,0.5,9750.89940980717
A6007,DT_FREQUENCY,5,FREQUENCY_GROWTH,4871.730158125795,0.5,9743.46031625159
A5382,STAYERS,5,GROWTH,7295.054448393484,0.75,9726.739264524645
A52648,STAYERS,7,GROWTH,7287.326265729499,0.75,9716.435020972665
A16095,STAYERS,7,GROWTH,7269.903243457486,0.75,9693.20432460998
A25592,DT_FREQUENCY,5,FREQUENCY_GROWTH,4842.133972377465,0.5,9684.26794475493
A47651,DT_FREQUENCY,5,FREQUENCY_GROWTH,4819.185501931585,0.5,9638.37100386317
A22728,DT_FREQUENCY,5,FREQUENCY_GROWTH,4813.3296168271245,0.5,9626.659233654249
A9281,DT_FREQUENCY,5,FREQUENCY_GROWTH,4808.960331120702,0.5,9617.920662241404
A41664,STAYERS,7,GROWTH,7205.238995367411,0.75,9606.985327156548
A13633,DT_FREQUENCY,5,FREQUENCY_GROWTH,4785.040086029946,0.5,9570.080172059892
A785,STAYERS,7,GROWTH,7125.3886045548215,0.75,9500.51813940643
A33739,DT_FREQUENCY,5,FREQUENCY_GROWTH,4746.931134871675,0.5,9493.86226974335
A42136,STAYERS,7,GROWTH,7085.3337251595885,0.75,9447.111633546117
A42830,DT_FREQUENCY,5,FREQUENCY_GROWTH,4689.052531053273,0.5,9378.105062106546
A17263,STAYERS,7,GROWTH,7032.497736644232,0.75,9376.663648858976
A53100,STAYERS,7,GROWTH,7029.565558427609,0.75,9372.754077903479
A33030,DT_FREQUENCY,5,FREQUENCY_GROWTH,4636.532566764633,0.5,9273.065133529266
A37621,DT_FREQUENCY,5,FREQUENCY_GROWTH,4634.199818990868,0.5,9268.399637981736
A26034,DT_FREQUENCY,5,FREQUENCY_GROWTH,4625.682543131446,0.5,9251.365086262893
A669,STAYERS,7,GROWTH,6932.513102938025,0.75,9243.350803917367
A42174,DT_FREQUENCY,5,FREQUENCY_GROWTH,4621.369393460945,0.5,9242.73878692189
A31256,STAYERS,7,GROWTH,6926.5343651262165,0.75,9235.379153501623
A47163,STAYERS,7,GROWTH,6926.237681509367,0.75,9234.983575345823
A42437,STAYERS,7,GROWTH,6877.208077668741,0.75,9169.610770224988
A12799,STAYERS,7,GROWTH,6857.248140280961,0.75,9142.997520374614
A21653,STAYERS,7,GROWTH,6840.5911936799375,0.75,9120.788258239916
A7885,DT_CONVERSION,5,STAYERS_WARM,9114.746108864612,1.0,9114.746108864612
A8389,STAYERS,7,GROWTH,6826.959072529978,0.75,9102.612096706636
A10251,STAYERS,7,GROWTH,6822.226813593408,0.75,9096.302418124544
A23653,STAYERS,7,GROWTH,6797.757151200095,0.75,9063.676201600127
A6724,STAYERS,7,GROWTH,6793.588125227994,0.75,9058.117500303992
A42376,DT_FREQUENCY,5,FREQUENCY_GROWTH,4526.524478621282,0.5,9053.048957242563
A3648,STAYERS,7,GROWTH,6784.872941542552,0.75,9046.49725539007
A2439,DT_CONVERSION,5,STAYERS_WARM,9043.214770725068,1.0,9043.214770725068
A45140,DT_FREQUENCY,5,FREQUENCY_GROWTH,4519.170415132228,0.5,9038.340830264457
A5037,DT_FREQUENCY,5,FREQUENCY_GROWTH,4508.620470629889,0.5,9017.240941259777
A24446,STAYERS,7,GROWTH,6760.2099099919005,0.75,9013.613213322535
A203,DT_FREQUENCY,5,FREQUENCY_GROWTH,4505.686954862251,0.5,9011.373909724502
A13231,STAYERS,5,GROWTH,6722.628400494334,0.75,8963.504533992445
A51889,STAYERS,7,GROWTH,6697.435476920264,0.75,8929.913969227018
A36875,STAYERS,7,GROWTH,6674.008589138172,0.75,8898.678118850896
A5723,STAYERS,7,GROWTH,6634.677357916455,0.75,8846.236477221939
A32988,DT_FREQUENCY,5,FREQUENCY_GROWTH,4419.61942013764,0.5,8839.23884027528
A20833,STAYERS,7,GROWTH,6619.772227248859,0.75,8826.362969665146
A20662,STAYERS,7,GROWTH,6609.648068605717,0.75,8812.864091474288
A26674,STAYERS,7,GROWTH,6586.574676180007,0.75,8782.09956824001
A8737,STAYERS,7,GROWTH,6583.635299999822,0.75,8778.180399999763
A7340,STAYERS,7,GROWTH,6566.261962072227,0.75,8755.015949429637
A49864,STAYERS,7,GROWTH,6544.342713508855,0.75,8725.790284678473
A43690,STAYERS,7,GROWTH,6523.126488911899,0.75,8697.501985215866
A35844,STAYERS,7,GROWTH,6518.326486252366,0.75,8691.10198166982
A34961,STAYERS,7,GROWTH,6506.0787623749875,0.75,8674.77168316665
A5472,STAYERS,7,GROWTH,6503.695487706356,0.75,8671.593983608474
A23443,STAYERS,7,GROWTH,6491.156781568149,0.75,8654.875708757532
A35433,STAYERS,7,GROWTH,6481.669108704385,0.75,8642.225478272512
A29018,STAYERS,7,GROWTH,6451.878684722156,0.75,8602.504912962875
A28595,STAYERS,7,GROWTH,6431.561605941324,0.75,8575.415474588432
A40199,STAYERS,7,GROWTH,6398.682700327885,0.75,8531.576933770513
A36363,STAYERS,7,GROWTH,6372.804751137024,0.75,8497.073001516032
A2290,STAYERS,7,GROWTH,6363.139677427841,0.75,8484.186236570455
A42415,DT_CONVERSION,5,STAYERS_WARM,8467.72575818738,1.0,8467.72575818738
A11753,STAYERS,7,GROWTH,6336.137454023917,0.75,8448.183272031889
A4854,DT_CONVERSION,5,STAYERS_WARM,8447.728032085113,1.0,8447.728032085113
A46709,STAYERS,7,GROWTH,6335.756818181819,0.75,8447.675757575758
A6284,STAYERS,7,GROWTH,6332.680316329109,0.75,8443.573755105479
A39800,STAYERS,7,GROWTH,6324.537107620954,0.75,8432.716143494605
A27375,STAYERS,7,GROWTH,6308.07952062867,0.75,8410.772694171561
A35046,STAYERS,7,GROWTH,6297.32981160283,0.75,8396.439748803774
A23135,STAYERS,7,GROWTH,6285.895652171267,0.75,8381.194202895023
A39048,STAYERS,7,GROWTH,6239.138985496698,0.75,8318.851980662264
A50930,DT_CONVERSION,5,STAYERS_WARM,8317.252417001893,1.0,8317.252417001893
A41719,STAYERS,7,GROWTH,6229.882035174492,0.75,8306.509380232656
A51561,STAYERS,7,GROWTH,6193.551,0.75,8258.068000000001
A22041,STAYERS,7,GROWTH,6178.362163027064,0.75,8237.816217369418
A49729,STAYERS,7,GROWTH,6168.315666735136,0.75,8224.420888980181
A40873,STAYERS,7,GROWTH,6138.399476874571,0.75,8184.532635832761
A18273,STAYERS,7,GROWTH,6122.970409862542,0.75,8163.9605464833885
A40167,STAYERS,7,GROWTH,6095.5770294461,0.75,8127.436039261466
A49080,STAYERS,7,GROWTH,6087.884569536468,0.75,8117.179426048624
A24700,STAYERS,7,GROWTH,6038.797074332814,0.75,8051.729432443753
A33376,DT_CONVERSION,5,STAYERS_WARM,8047.133010699502,1.0,8047.133010699502
A9403,STAYERS,7,GROWTH,6009.233725891216,0.75,8012.311634521621
A2164,STAYERS,7,GROWTH,5996.896342573522,0.75,7995.861790098029
A39376,STAYERS,7,GROWTH,5996.778124999454,0.75,7995.704166665939
A38867,DT_CONVERSION,5,STAYERS_WARM,7972.96745158884,1.0,7972.96745158884
A46687,STAYERS,7,GROWTH,5979.7066450815655,0.75,7972.942193442087
A52727,STAYERS,7,GROWTH,5978.869308218953,0.75,7971.825744291938
A20375,STAYERS,7,GROWTH,5948.99676841834,0.75,7931.995691224453
A13348,STAYERS,7,GROWTH,5943.61484385982,0.75,7924.819791813094
A6042,STAYERS,7,GROWTH,5906.400608172029,0.75,7875.200810896039
A5193,STAYERS,7,GROWTH,5903.912549798294,0.75,7871.8833997310585
A41392,STAYERS,7,GROWTH,5896.955810802433,0.75,7862.607747736577
A47634,DT_CONVERSION,5,STAYERS_WARM,7835.023425156462,1.0,7835.023425156462
A31431,DT_CONVERSION,5,STAYERS_WARM,7762.595288464074,1.0,7762.595288464074
A14167,DT_CONVERSION,5,STAYERS_WARM,7635.886288539066,1.0,7635.886288539066
A17797,DT_CONVERSION,5,STAYERS_WARM,7592.309419978816,1.0,7592.309419978816
A13298,DT_CONVERSION,5,STAYERS_WARM,7485.191666491469,1.0,7485.191666491469
A22232,DT_CONVERSION,5,STAYERS_WARM,7380.304597702357,1.0,7380.304597702357
A19536,DT_CONVERSION,5,STAYERS_WARM,7212.375430983218,1.0,7212.375430983218
A18631,DT_CONVERSION,5,STAYERS_WARM,7012.363273208051,1.0,7012.363273208051
A2890,DT_CONVERSION,5,STAYERS_WARM,6979.16649835321,1.0,6979.16649835321
A16199,DT_CONVERSION,5,STAYERS_WARM,6976.218651372548,1.0,6976.218651372548
A33521,DT_CONVERSION,5,STAYERS_WARM,6961.25746870883,1.0,6961.25746870883
A38290,DT_CONVERSION,5,STAYERS_WARM,6567.379937650808,1.0,6567.379937650808
A28397,DT_CONVERSION,5,STAYERS_WARM,6513.575414114379,1.0,6513.575414114379
A39694,DT_CONVERSION,5,STAYERS_WARM,6505.750289790602,1.0,6505.750289790602
A3177,DT_CONVERSION,5,STAYERS_WARM,6421.534544483778,1.0,6421.534544483778
A16041,DT_CONVERSION,5,STAYERS_WARM,6145.951477093116,1.0,6145.951477093116
A28313,DT_CONVERSION,5,STAYERS_WARM,6086.487935798398,1.0,6086.487935798398
A37247,DT_CONVERSION,5,STAYERS_WARM,6071.7307953562495,1.0,6071.7307953562495
A35392,DT_CONVERSION,5,STAYERS_WARM,6044.501606660047,1.0,6044.501606660047
A39087,DT_CONVERSION,5,STAYERS_WARM,5756.968038268824,1.0,5756.968038268824
A40578,DT_CONVERSION,5,STAYERS_WARM,5737.761202055815,1.0,5737.761202055815
A29383,DT_CONVERSION,5,STAYERS_WARM,5656.371092512149,1.0,5656.371092512149
A37555,DT_CONVERSION,5,STAYERS_WARM,5639.900067081832,1.0,5639.900067081832
A3799,DT_CONVERSION,5,STAYERS_WARM,5626.580955608787,1.0,5626.580955608787
A13403,DT_CONVERSION,5,STAYERS_WARM,5623.403512804152,1.0,5623.403512804152
A18406,DT_CONVERSION,5,STAYERS_WARM,5579.769824314829,1.0,5579.769824314829
A22756,DT_CONVERSION,5,STAYERS_WARM,5536.848404230523,1.0,5536.848404230523
A35646,DT_CONVERSION,5,STAYERS_WARM,5509.20115669678,1.0,5509.20115669678
A50442,DT_CONVERSION,5,STAYERS_WARM,5492.982478885474,1.0,5492.982478885474
A17127,DT_CONVERSION,5,STAYERS_WARM,5486.475429672757,1.0,5486.475429672757
A22876,DT_CONVERSION,5,STAYERS_WARM,5463.642684739265,1.0,5463.642684739265
A36581,DT_CONVERSION,5,STAYERS_WARM,5400.630413439071,1.0,5400.630413439071
A30726,DT_CONVERSION,5,STAYERS_WARM,5378.445399408847,1.0,5378.445399408847
A53404,DT_CONVERSION,5,STAYERS_WARM,5321.88293301016,1.0,5321.88293301016
A23692,DT_CONVERSION,5,STAYERS_WARM,5271.673162741334,1.0,5271.673162741334
A22417,DT_CONVERSION,5,STAYERS_WARM,5196.92834222196,1.0,5196.92834222196
A53397,DT_CONVERSION,5,STAYERS_WARM,5145.161340120041,1.0,5145.161340120041
A32093,DT_CONVERSION,5,STAYERS_WARM,5131.0182418866425,1.0,5131.0182418866425
A18393,DT_CONVERSION,5,STAYERS_WARM,5050.2674789490775,1.0,5050.2674789490775
A31899,DT_CONVERSION,5,STAYERS_WARM,5010.799016016801,1.0,5010.799016016801
A48118,DT_CONVERSION,5,STAYERS_WARM,4965.603510649819,1.0,4965.603510649819
A44736,DT_CONVERSION,5,STAYERS_WARM,4798.676961025828,1.0,4798.676961025828
A22304,DT_CONVERSION,5,STAYERS_WARM,4772.613390827858,1.0,4772.613390827858
A29543,DT_CONVERSION,5,STAYERS_WARM,4731.570544090725,1.0,4731.570544090725
A22264,DT_CONVERSION,5,STAYERS_WARM,4727.855288225103,1.0,4727.855288225103
A15503,DT_CONVERSION,5,STAYERS_WARM,4712.022332662059,1.0,4712.022332662059
A28502,DT_CONVERSION,5,STAYERS_WARM,4654.677763731349,1.0,4654.677763731349
A25755,DT_CONVERSION,5,STAYERS_WARM,4647.698195307153,1.0,4647.698195307153
A50733,DT_CONVERSION,5,STAYERS_WARM,4644.662435292462,1.0,4644.662435292462
A30337,DT_CONVERSION,5,STAYERS_WARM,4549.206609962406,1.0,4549.206609962406
A252,DT_CONVERSION,5,STAYERS_WARM,4522.700778040648,1.0,4522.700778040648
A34376,DT_CONVERSION,5,STAYERS_WARM,4495.022872190424,1.0,4495.022872190424
A43403,DT_CONVERSION,5,STAYERS_WARM,4400.473397713222,1.0,4400.473397713222
A20827,DT_CONVERSION,5,STAYERS_WARM,4370.31770002271,1.0,4370.31770002271
A51206,DT_CONVERSION,5,STAYERS_WARM,4369.05169023703,1.0,4369.05169023703
A54262,DT_CONVERSION,5,STAYERS_WARM,4353.347401323668,1.0,4353.347401323668
A48661,DT_CONVERSION,5,STAYERS_WARM,4332.97590672801,1.0,4332.97590672801
A25174,DT_CONVERSION,5,STAYERS_WARM,4294.742562231351,1.0,4294.742562231351
A12677,DT_CONVERSION,5,STAYERS_WARM,4282.814929084897,1.0,4282.814929084897
A3059,DT_CONVERSION,5,STAYERS_WARM,4264.561745552951,1.0,4264.561745552951
A9810,DT_CONVERSION,5,STAYERS_WARM,4223.966485415159,1.0,4223.966485415159
A5203,DT_CONVERSION,5,STAYERS_WARM,4217.8536528836485,1.0,4217.8536528836485
A29480,DT_CONVERSION,5,STAYERS_WARM,4216.520179864167,1.0,4216.520179864167
A33566,DT_CONVERSION,5,STAYERS_WARM,4183.0842739324735,1.0,4183.0842739324735
A38575,DT_CONVERSION,5,STAYERS_WARM,4125.1626169283545,1.0,4125.1626169283545
A287,DT_CONVERSION,5,STAYERS_WARM,4094.320509843087,1.0,4094.320509843087
A5416,DT_CONVERSION,5,STAYERS_WARM,4090.4134928805424,1.0,4090.4134928805424
A41167,DT_CONVERSION,5,STAYERS_WARM,4082.5404389948894,1.0,4082.5404389948894
A2199,DT_CONVERSION,5,STAYERS_WARM,4044.57239288802,1.0,4044.57239288802
A411,DT_CONVERSION,5,STAYERS_WARM,3964.347614102759,1.0,3964.347614102759
A37817,DT_CONVERSION,5,STAYERS_WARM,3961.533236960525,1.0,3961.533236960525
A14345,DT_CONVERSION,5,STAYERS_WARM,3957.370611972925,1.0,3957.370611972925
A17144,DT_CONVERSION,5,STAYERS_WARM,3949.0882314577407,1.0,3949.0882314577407
A17337,DT_CONVERSION,5,STAYERS_WARM,3935.2592099427857,1.0,3935.2592099427857
A48703,DT_CONVERSION,5,STAYERS_WARM,3913.948023360325,1.0,3913.948023360325
A25544,DT_CONVERSION,5,STAYERS_WARM,3901.396559162683,1.0,3901.396559162683
A22551,DT_CONVERSION,5,STAYERS_WARM,3876.3751531088255,1.0,3876.3751531088255
A22867,DT_CONVERSION,5,STAYERS_WARM,3815.611538153666,1.0,3815.611538153666
A31182,DT_CONVERSION,5,STAYERS_WARM,3795.094272696062,1.0,3795.094272696062
A9827,DT_CONVERSION,5,STAYERS_WARM,3781.11242796068,1.0,3781.11242796068
A45601,DT_CONVERSION,5,STAYERS_WARM,3769.186540325362,1.0,3769.186540325362
A52933,DT_CONVERSION,5,STAYERS_WARM,3768.668137924374,1.0,3768.668137924374
A49725,DT_CONVERSION,5,STAYERS_WARM,3755.8356558552136,1.0,3755.8356558552136
A13075,DT_CONVERSION,5,STAYERS_WARM,3737.734748539215,1.0,3737.734748539215
A45454,DT_CONVERSION,5,STAYERS_WARM,3734.1030326964583,1.0,3734.1030326964583
A1679,DT_CONVERSION,5,STAYERS_WARM,3731.6464383553166,1.0,3731.6464383553166
A8738,DT_CONVERSION,5,STAYERS_WARM,3695.169863415644,1.0,3695.169863415644
A32169,DT_CONVERSION,5,STAYERS_WARM,3689.97745405463,1.0,3689.97745405463
A53529,DT_CONVERSION,5,STAYERS_WARM,3669.599947779673,1.0,3669.599947779673
A30677,DT_CONVERSION,5,STAYERS_WARM,3666.774639986684,1.0,3666.774639986684
A18514,DT_CONVERSION,5,STAYERS_WARM,3660.2355414497697,1.0,3660.2355414497697
A36550,DT_CONVERSION,5,STAYERS_WARM,3604.762755871268,1.0,3604.762755871268
A4995,DT_CONVERSION,5,STAYERS_WARM,3597.1035255589613,1.0,3597.1035255589613
A12242,DT_CONVERSION,5,STAYERS_WARM,3556.5863384891018,1.0,3556.5863384891018
A33911,DT_CONVERSION,5,STAYERS_WARM,3540.6170279857097,1.0,3540.6170279857097
A53644,DT_CONVERSION,5,STAYERS_WARM,3538.9909068705256,1.0,3538.9909068705256
