user_id,TM_DayTrip_Freq,tier_status,ADT,city,travel_time_mins,age_grp,TM_gaming_trip,TM_gaming_day,TM_gaming_day_weekday,TM_gaming_day_weekend,TM_hourplayed,TM_hourplayed_TG,TM_hourplayed_ETG,TM_hourplayed_SLOT,TM_twin,TM_twin_TG,TM_twin_ETG,TM_twin_SLOT,TM_avgbet,TM_avgbet_TG,TM_avgbet_ETG,TM_avgbet_SLOT,L12M_gaming_trip,L12M_gaming_day,L12M_gaming_day_weekday,L12M_gaming_day_Fri,L12M_gaming_day_Sat,L12M_gaming_day_Sun,L12M_hourplayed,L12M_hourplayed_TG,L12M_hourplayed_ETG,L12M_hourplayed_SLOT,L12M_twin,L12M_twin_TG,L12M_twin_ETG,L12M_twin_SLOT,L12M_avgbet,L12M_avgbet_TG,L12M_avgbet_ETG,L12M_avgbet_SLOT,L12M_roomnight,L24M_gaming_trip,L24M_gaming_day,L24M_gaming_day_weekday,L24M_gaming_day_Fri,L24M_gaming_day_Sat,L24M_gaming_day_Sun,L24M_hourplayed,L24M_hourplayed_TG,L24M_hourplayed_ETG,L24M_hourplayed_SLOT,L24M_twin,L24M_twin_TG,L24M_twin_ETG,L24M_twin_SLOT,L24M_avgbet,L24M_avgbet_TG,L24M_avgbet_ETG,L24M_avgbet_SLOT,L24M_room_night,trip_twin,trip_bet,trip_gaming_day,trip_hour_played,log_ADT,twin_per_day,hours_per_day,days_per_trip,trips_per_month,pct_SLOT,pct_ETG,pct_TG,cluster_hdbscan,hdbscan_confidence,dt_transition_type,region_changed_flag,visit_compression_flag,friction_flag,TM_ADT,P_CONVERT_STAY,expected_room_margin,expected_gaming_margin,expected_total_margin,engagement_lane,expected_host_hours,expected_dollars_per_hour
A7229,1,Maharlika,1184,Makati_BGC,50.4,51 - 60,1,1,1,0,0.686,0.0,0.686,0.0,2581,0,2581,0,3426,0,3426,0,3,3,0,1,2,0,8,0,3,1,33330,0,11737,6269,2303,0,3393,100,0,10,10,1,4,4,1,17.454,2.982,8.291,2.506,70013,5074,35954,13661,2847,2103,4226,120,6,2581,3426,1,0,7.077498053569231,11110.0,2.6666666666666665,1.0,0.25,0.188088808880888,0.3521452145214521,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,2581.0,0.6,57.915,142.08,199.995,HOST_RECOVERY,1.0,199.995
A8833,3,Maharlika,1184,Makati_BGC,75.6,41 - 50,3,4,4,0,4.153,0.348,1.794,0.151,60711,7086,23678,2799,13730,32805,10952,399,25,30,29,0,0,1,23,3,8,1,281270,19498,103416,29568,10217,10357,10444,409,0,55,72,71,0,0,1,91.663,4.113,46.1,6.458,1585022,25414,758627,168388,12702,8482,14541,574,9,20237,4564,1,1,7.077498053569231,9375.666666666666,0.7666666666666667,1.2,2.083333333333333,0.105123191239734,0.3676751875422192,0.069321292708074,-1,0.0,DOWNGRADED_STAYER,0,1,1,15177.75,0.6,57.915,142.08,199.995,HOST_RECOVERY,1.0,199.995
A30742,1,Premium,1182,Makati_BGC,41.4,31 - 40,1,1,1,0,0.32,0.0,0.0,0.32,6535,0,0,6535,184,0,0,184,5,5,2,1,2,0,22,3,0,5,212787,5641,5278,67039,1335,1869,22097,164,0,12,13,6,1,5,1,27.51,4.658,1.067,6.437,243106,9185,8792,81386,1424,1613,8247,159,5,6532,175,1,0,7.075808863978387,42557.4,4.4,1.0,0.4166666666666667,0.3150521413432212,0.0248041468698745,0.0265100781532706,-1,0.0,DOWNGRADED_STAYER,0,1,1,6535.0,0.6,57.915,141.84,199.755,HOST_RECOVERY,1.0,199.755
A15326,1,Elite,1178,Pasay,96.6,Above 60,1,1,1,0,1.948,1.948,0.0,0.0,17175,17175,0,0,13450,13450,0,0,1,1,1,0,0,0,1,1,0,0,3252,3252,0,0,3281,3281,0,0,0,2,2,2,0,0,0,1.609,1.609,0.0,0.0,7149,7149,0,0,4968,4968,0,0,2,17175,13443,1,1,7.072421900537371,3252.0,1.0,1.0,0.0833333333333333,0.0,0.0,1.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,17175.0,0.6,57.915,141.35999999999999,199.27499999999998,HOST_RECOVERY,1.0,199.27499999999998
A36622,1,Premium,1166,QC,133.8,31 - 40,1,1,1,0,4.768,0.0,0.146,2.238,34001,0,379,16621,256,0,1927,147,1,1,1,0,0,0,4,0,0,2,32951,0,277,16198,287,0,1350,187,0,20,40,31,5,3,1,144.717,0.0,38.092,45.35,917881,0,123026,441037,1606,0,2974,266,17,34001,248,1,4,7.062191632286556,32951.0,4.0,1.0,0.0833333333333333,0.4915784042972899,0.0084064216563988,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,34001.0,0.6,57.915,139.92000000000002,197.835,HOST_RECOVERY,1.0,197.835
A27309,2,Elite,1154,Pasay,195.6,51 - 60,1,2,1,1,28.965,4.226,12.22,0.0,54291,5903,27760,0,1314,325,1913,0,2,3,0,0,1,2,31,14,2,0,42686,17553,4243,0,573,330,2317,0,0,4,5,1,0,1,3,38.183,16.93,2.681,0.0,56867,23082,6211,0,640,350,2429,0,4,54281,1312,2,28,7.051855622955894,14228.666666666666,10.333333333333334,1.5,0.1666666666666666,0.0,0.0994002717518624,0.4112121070140093,-1,0.0,DOWNGRADED_STAYER,0,1,1,27145.5,0.6,57.915,138.48,196.39499999999998,HOST_RECOVERY,1.0,196.39499999999998
A52747,2,Elite,1152,Manila,0.0,31 - 40,1,4,1,3,22.034,0.0,22.034,0.0,67170,0,67170,0,1773,0,1773,0,1,3,1,0,1,1,22,6,16,0,77575,12898,64677,0,1964,1737,2055,0,0,5,16,3,3,5,5,112.454,6.337,87.64,0.168,147140,12898,120227,75,692,1737,685,27,2,67170,1764,4,22,7.050122520269059,25858.33333333333,7.333333333333333,3.0,0.0833333333333333,0.0,0.8337350950692878,0.1662649049307122,-1,0.0,DOWNGRADED_STAYER,0,1,1,16792.5,0.6,57.915,138.23999999999998,196.15499999999997,HOST_RECOVERY,1.0,196.15499999999997
A48289,3,Premium,1148,Makati_BGC,57.6,Above 60,3,3,2,1,14.322,0.359,0.0,10.611,66060,814,0,53874,77,547,0,54,41,49,14,21,14,0,196,12,0,167,887361,27274,0,801321,110,547,0,59,0,67,79,16,31,32,0,316.915,12.253,0.0,282.843,1345364,28480,0,1249636,89,540,0,56,2,22016,15,1,4,7.046647277848756,18109.408163265307,4.0,1.195121951219512,3.4166666666666665,0.9030383350181044,0.0,0.0307360814820574,-1,0.0,DOWNGRADED_STAYER,0,1,1,22020.0,0.6,57.915,137.76,195.67499999999998,HOST_RECOVERY,1.0,195.67499999999998
A28512,2,Supreme,1138,Makati_BGC,41.4,51 - 60,2,2,2,0,8.573,0.0,0.0,8.573,28314,0,0,28314,45,0,0,45,61,76,50,18,8,0,323,0,0,323,1287910,0,0,1287910,59,0,0,59,0,119,145,94,33,18,0,662.34,0.0,0.694,619.26,3329834,0,233,3133339,73,0,274,73,4,14157,15,1,4,7.037905963447182,16946.184210526317,4.25,1.2459016393442623,5.083333333333333,1.0,0.0,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,14157.0,0.6,57.915,136.56,194.475,HOST_RECOVERY,1.0,194.475
A3700,1,Supreme,1136,Makati_BGC,50.4,Above 60,1,1,0,1,3.226,0.0,3.226,0.0,13151,0,13151,0,3932,0,3932,0,37,41,27,10,4,0,104,1,97,0,725908,2041,686018,0,6714,3699,6775,0,0,105,115,81,18,12,4,340.888,0.914,332.042,0.0,2865325,2131,2810864,0,8079,3470,8135,0,1,13151,3922,1,3,7.036148493750536,17705.073170731706,2.5365853658536586,1.108108108108108,3.083333333333333,0.0,0.945048132821239,0.0028116510632201,-1,0.0,DOWNGRADED_STAYER,0,1,1,13151.0,0.6,57.915,136.32000000000002,194.235,HOST_RECOVERY,1.0,194.235
A49769,4,Premium,1129,Makati_BGC,45.0,31 - 40,4,5,3,2,7.602,0.0,7.602,0.0,52561,0,52561,0,6481,0,6481,0,9,10,7,1,0,2,16,0,16,0,201598,0,201598,0,10665,0,10665,0,0,15,16,11,2,0,3,24.773,1.116,22.829,0.0,265285,2145,260515,0,9243,708,9903,0,2,13137,1618,1,1,7.029972911706386,20159.8,1.6,1.1111111111111112,0.75,0.0,1.0,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,10512.2,0.6,57.915,135.48,193.39499999999998,HOST_RECOVERY,1.0,193.39499999999998
A21407,4,Supreme,1126,Makati_BGC,52.8,51 - 60,1,4,2,2,17.149,0.0,0.0,17.149,96228,0,0,96228,79,0,0,79,30,48,2,8,23,15,90,0,0,90,750170,0,0,750170,112,0,0,112,0,55,89,5,11,40,33,188.011,0.0,0.0,188.011,1635132,0,0,1635132,108,0,0,108,2,96228,73,4,17,7.027314514039777,15628.541666666666,1.875,1.6,2.5,1.0,0.0,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,24057.0,0.6,57.915,135.12,193.035,HOST_RECOVERY,1.0,193.035
A20784,3,Premium,1125,Makati_BGC,57.6,41 - 50,2,3,0,3,4.768,0.0,0.0,4.768,21520,0,0,21520,80,0,0,80,12,16,6,2,7,1,30,0,3,22,142242,0,3630,119148,272,0,1155,89,0,27,35,10,4,15,6,69.255,0.0,2.53,61.573,398333,0,3630,375239,180,0,1155,103,1,10760,29,1,2,7.026426808699636,8890.125,1.875,1.3333333333333333,1.0,0.8376428902855697,0.0255198886404859,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,7173.333333333333,0.6,57.915,135.0,192.915,HOST_RECOVERY,1.0,192.915
A32959,2,Premium,1107,QC,324.6,31 - 40,2,2,1,1,7.761,4.951,1.003,0.0,53724,39627,6269,0,9696,12748,5148,0,36,47,17,15,11,4,238,75,56,5,1331914,286230,430212,9448,5449,4640,6695,52,0,46,65,30,16,14,5,330.1,100.88,79.801,5.195,1719789,327704,599573,9448,4781,3546,6526,52,1,26856,4841,1,3,7.010311867307229,28338.59574468085,5.0638297872340425,1.3055555555555556,3.0,0.0070935510851301,0.323002836519475,0.2149012623938182,-1,0.0,DOWNGRADED_STAYER,0,0,0,26862.0,0.6,57.915,132.84,190.755,HOST_RECOVERY,1.0,190.755
A26197,1,Premium,1105,Makati_BGC,45.0,51 - 60,1,1,1,0,4.28,4.28,0.0,0.0,9114,9114,0,0,1023,1023,0,0,25,29,11,0,1,17,161,161,0,0,476416,476416,0,0,1401,1401,0,0,0,33,41,14,1,5,21,205.851,201.595,0.0,0.862,609978,601350,0,1377,1420,1434,0,81,3,9113,1021,1,4,7.00850518208228,16428.137931034482,5.551724137931035,1.16,2.083333333333333,0.0,0.0,1.0,-1,0.0,DOWNGRADED_STAYER,0,0,0,9114.0,0.6,57.915,132.6,190.515,HOST_RECOVERY,1.0,190.515
A40619,2,Premium,1101,Makati_BGC,57.6,51 - 60,1,2,2,0,9.66,0.0,0.0,9.66,35951,0,0,35951,48,0,0,48,3,3,0,0,2,1,10,0,0,10,29442,0,0,29442,51,0,0,51,0,9,10,4,1,3,2,37.233,0.0,0.0,37.233,101657,0,0,101657,42,0,0,42,2,35940,44,2,9,7.004881989712859,9814.0,3.333333333333333,1.0,0.25,1.0,0.0,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,17975.5,0.6,57.915,132.12,190.035,HOST_RECOVERY,1.0,190.035
A24874,1,Prime,1097,Makati_BGC,50.4,41 - 50,1,1,0,1,3.797,0.0,0.0,3.797,37631,0,0,37631,210,0,0,210,19,19,7,7,1,4,43,1,0,42,273159,1782,0,271378,134,437,0,128,0,19,19,7,7,1,4,42.566,0.755,0.0,41.811,273159,1782,0,271378,134,437,0,128,2,37631,204,1,3,7.001245622069476,14376.78947368421,2.263157894736842,1.0,1.5833333333333333,0.9934799878459066,0.0,0.0065236730256004,-1,0.0,DOWNGRADED_STAYER,0,0,0,37631.0,0.6,57.915,131.64,189.55499999999998,HOST_RECOVERY,1.0,189.55499999999998
A25090,2,Premium,1088,Pasay,96.6,41 - 50,1,2,0,2,2.634,0.0,2.634,0.0,10235,0,10235,0,3338,0,3338,0,29,57,6,5,22,24,374,33,203,0,1306751,65772,777435,0,2831,478,3345,0,0,63,122,14,8,49,51,759.469,103.683,350.851,1.613,2392555,193579,1257350,1467,2503,476,3164,57,3,10235,3324,2,2,6.9930151229329605,22925.45614035088,6.56140350877193,1.9655172413793105,2.4166666666666665,0.0,0.5949373675627568,0.0503324657872846,-1,0.0,DOWNGRADED_STAYER,0,1,1,5117.5,0.6,57.915,130.56,188.475,HOST_RECOVERY,1.0,188.475
A7092,3,Prime,1086,QC,262.8,41 - 50,1,3,1,2,14.76,0.0,14.76,0.0,47516,0,47516,0,2643,0,2643,0,2,2,0,0,0,2,8,0,8,0,33374,0,33374,0,4082,0,4082,0,0,5,6,0,1,1,4,42.884,0.0,42.884,0.0,144590,0,144590,0,3354,0,3354,0,1,47516,2639,3,14,6.99117688712121,16687.0,4.0,1.0,0.1666666666666666,0.0,1.0,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,15838.666666666666,0.6,57.915,130.32000000000002,188.235,HOST_RECOVERY,1.0,188.235
A26199,2,Supreme,1083,Makati_BGC,48.6,41 - 50,2,2,0,2,3.514,0.0,0.522,1.423,14463,0,365,6998,164,0,612,59,10,12,4,1,3,4,29,0,1,23,158431,0,1210,136196,143,0,941,72,0,26,30,9,4,10,7,81.682,0.334,6.439,52.98,395387,453,6022,304130,172,437,896,67,2,7232,73,1,1,6.988413181999592,13202.583333333334,2.4166666666666665,1.2,0.8333333333333334,0.8596549917629757,0.0076373941968427,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,7231.5,0.6,57.915,129.96,187.875,HOST_RECOVERY,1.0,187.875
A12442,3,Elite,1082,Pasay,195.6,41 - 50,1,3,3,0,8.659,2.643,2.122,0.0,84654,6008,41305,0,8591,859,18538,0,1,2,2,0,0,0,4,1,0,1,14249,2459,73,4593,1092,1423,593,944,0,7,12,11,1,0,0,16.641,13.307,0.137,1.167,57402,45612,73,4593,1104,1125,593,944,1,84651,8588,3,8,6.987490247000991,7124.5,2.0,2.0,0.0833333333333333,0.3223384097129623,0.0051231665380026,0.1725735139308021,-1,0.0,DOWNGRADED_STAYER,0,1,1,28218.0,0.6,57.915,129.84,187.755,HOST_RECOVERY,1.0,187.755
A40994,1,Elite,1080,Manila,0.0,51 - 60,1,1,0,1,4.08,0.0,0.0,4.08,13297,0,0,13297,63,0,0,63,5,11,5,2,1,3,70,0,0,70,175077,0,0,175077,49,0,0,49,0,7,16,7,3,2,4,103.16,0.0,0.0,103.16,240626,0,0,240626,44,0,0,44,4,13297,58,1,4,6.985641817639208,15916.09090909091,6.363636363636363,2.2,0.4166666666666667,1.0,0.0,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,13297.0,0.6,57.915,129.6,187.515,HOST_RECOVERY,1.0,187.515
A7013,3,Premium,1080,Manila,0.0,51 - 60,1,3,0,3,40.704,16.71,0.0,3.642,265096,111222,0,21326,7525,9138,0,124,2,7,1,2,2,2,36,8,0,13,144171,21931,0,57011,226,500,0,51,0,5,15,5,3,3,4,69.609,14.52,0.0,25.903,196245,35357,0,75412,200,483,0,40,3,265094,7523,3,40,6.985641817639208,20595.85714285714,5.142857142857143,3.5,0.1666666666666666,0.3954401370594641,0.0,0.1521179710205242,-1,0.0,DOWNGRADED_STAYER,0,1,1,88365.33333333333,0.6,57.915,129.6,187.515,HOST_RECOVERY,1.0,187.515
A3580,1,Premium,1076,Makati_BGC,75.6,51 - 60,1,1,0,1,1.417,0.0,1.417,0.0,8092,0,8092,0,4465,0,4465,0,9,9,5,0,3,1,18,0,13,1,159714,0,136148,3648,6063,0,7485,40,0,21,21,11,0,8,2,46.741,0.058,37.11,1.461,412062,222,357225,3745,6839,547,7573,41,1,8092,4461,1,1,6.981934677156389,17746.0,2.0,1.0,0.75,0.0228408279800142,0.8524487521444583,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,8092.0,0.6,57.915,129.12,187.035,HOST_RECOVERY,1.0,187.035
A3545,1,Supreme,1074,Makati_BGC,46.2,Above 60,2,2,1,1,3.34,0.0,3.34,0.0,11095,0,11095,0,3152,0,3152,0,34,40,20,9,7,4,106,16,64,0,413655,27473,280694,0,3541,1939,3899,0,0,76,97,57,17,14,9,436.906,39.03,269.8,0.0,1775469,59104,1220915,0,3639,1458,4041,0,6,5540,1575,1,1,6.980075940561763,10341.375,2.65,1.1764705882352942,2.833333333333333,0.0,0.6785703061730186,0.0664152494228282,-1,0.0,DOWNGRADED_STAYER,0,1,1,5547.5,0.6,57.915,128.88,186.795,HOST_RECOVERY,1.0,186.795
A36960,11,Premium,1070,Pasay,154.8,31 - 40,5,11,6,5,22.596,0.0,2.769,10.939,237873,0,17015,127240,1757,0,6744,217,17,25,11,5,3,6,62,0,6,32,700231,0,134603,264057,4110,0,22238,163,0,36,61,27,9,11,14,135.636,0.0,13.577,69.204,1352138,0,248268,538446,3480,0,16914,142,6,47575,350,2,4,6.976348070447749,28009.24,2.48,1.4705882352941178,1.4166666666666667,0.3770998427661728,0.1922265652334729,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,21624.81818181818,0.6,57.915,128.4,186.315,HOST_RECOVERY,1.0,186.315
A2013,2,Supreme,1067,Makati_BGC,48.6,Above 60,2,2,2,0,4.194,4.194,0.0,0.0,59040,59040,0,0,9517,9517,0,0,3,3,2,1,0,0,2,2,0,0,4393,4393,0,0,2105,2105,0,0,0,23,25,19,6,0,0,28.192,28.192,0.0,0.0,78996,78996,0,0,2467,2467,0,0,5,29510,4753,1,2,6.97354301952014,1464.3333333333333,0.6666666666666666,1.0,0.25,0.0,0.0,1.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,29520.0,0.6,57.915,128.04,185.95499999999998,HOST_RECOVERY,1.0,185.95499999999998
A6849,1,Supreme,1066,Makati_BGC,45.0,Above 60,1,1,0,1,0.61,0.61,0.0,0.0,3660,3660,0,0,9661,9661,0,0,29,40,9,5,15,11,79,63,2,1,302772,238197,18356,539,6337,6554,7551,19,0,74,102,27,16,30,29,216.507,185.402,2.738,3.641,802777,687152,21783,5468,6953,7229,6983,38,4,3660,9652,1,0,6.9726062513017535,7569.3,1.975,1.3793103448275863,2.4166666666666665,0.0017802174573606,0.0606264780098556,0.7867207007252982,-1,0.0,DOWNGRADED_STAYER,0,1,1,3660.0,0.6,57.915,127.92000000000002,185.835,HOST_RECOVERY,1.0,185.835
A19721,1,Premium,1066,Makati_BGC,57.6,41 - 50,1,1,0,1,1.623,0.0,1.623,0.0,6853,0,6853,0,4417,0,4417,0,11,14,2,1,3,8,52,0,40,0,245757,115,188636,175,4883,1094,4899,32,0,34,41,10,2,8,21,109.284,0.073,97.232,0.129,542110,115,484989,175,4921,1094,4932,32,3,6853,4403,1,1,6.9726062513017535,17554.071428571428,3.7142857142857135,1.2727272727272727,0.9166666666666666,0.0007120855153668,0.7675712187241869,0.0004679419100981,-1,0.0,DOWNGRADED_STAYER,0,1,1,6853.0,0.6,57.915,127.92000000000002,185.835,HOST_RECOVERY,1.0,185.835
A51900,3,Supreme,1063,Others,0.0,41 - 50,3,3,1,2,11.851,0.0,0.0,11.851,134627,0,0,134627,128,0,0,128,36,59,35,8,9,7,105,0,0,105,804504,0,0,804504,130,0,0,130,0,77,116,68,21,12,15,212.591,0.19,2.011,210.39,1844662,1453,13822,1829387,171,6561,3353,135,1,44863,29,1,3,6.96979066990159,13635.661016949152,1.7796610169491525,1.6388888888888888,3.0,1.0,0.0,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,44875.666666666664,0.6,57.915,127.56,185.475,HOST_RECOVERY,1.0,185.475
A15559,2,Premium,1062,Pasay,154.8,Above 60,1,2,0,2,0.843,0.0,0.111,0.421,3412,0,1210,729,2970,0,11168,51,11,17,16,0,0,1,23,0,13,4,408196,0,275795,9535,15403,0,19474,38,0,19,28,23,2,0,3,37.405,0.391,13.514,12.489,428599,377,276101,23341,9571,1094,18729,29,1,3412,2960,2,0,6.968850378341948,24011.529411764703,1.3529411764705883,1.5454545454545454,0.9166666666666666,0.0233588766180952,0.6756435633862165,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,1706.0,0.6,57.915,127.44,185.355,HOST_RECOVERY,1.0,185.355
A46206,2,Premium,1061,Pasay,154.8,21 - 30,2,2,1,1,4.011,0.0,4.011,0.0,42967,0,42967,0,6917,0,6917,0,5,6,0,1,2,3,12,0,12,0,63860,0,63860,0,4502,0,4502,0,0,23,32,3,3,8,18,59.561,0.841,50.791,0.315,210928,1888,185064,539,2385,1553,2467,85,2,21476,3455,1,2,6.967909201801884,10643.333333333334,2.0,1.2,0.4166666666666667,0.0,1.0,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,21483.5,0.6,57.915,127.32000000000001,185.235,HOST_RECOVERY,1.0,185.235
A1199,2,Premium,1059,Makati_BGC,48.6,Above 60,2,2,2,0,5.612,0.0,0.0,5.612,22552,0,0,22552,87,0,0,87,17,18,18,0,0,0,38,0,1,33,148877,0,2406,130596,195,0,2704,91,0,47,49,47,1,0,1,122.883,0.0,2.906,99.558,511613,0,10089,419732,243,0,3097,101,3,11270,29,1,2,6.966024187106113,8270.944444444445,2.111111111111111,1.0588235294117647,1.4166666666666667,0.877207359095092,0.0161609919598057,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,11276.0,0.6,57.915,127.08,184.995,HOST_RECOVERY,1.0,184.995
A19921,4,Maharlika,1054,Makati_BGC,46.2,41 - 50,2,4,2,2,24.844,16.851,1.554,0.0,73159,26858,20820,0,2979,1816,12247,0,13,28,18,3,3,4,253,111,21,0,955295,248159,240745,175,3955,2589,10861,160,0,19,37,24,3,4,6,352.766,146.978,34.432,0.047,1483652,344856,408225,175,4336,2695,11104,160,4,36567,1487,2,12,6.961296045910167,34117.67857142857,9.035714285714286,2.1538461538461537,1.0833333333333333,0.0001831894859703,0.2520111588566882,0.2597721122794529,-1,0.0,DOWNGRADED_STAYER,0,0,0,18289.75,0.6,57.915,126.48,184.395,HOST_RECOVERY,1.0,184.395
A4546,3,Premium,1053,Makati_BGC,52.2,51 - 60,1,3,1,2,27.378,0.0,8.822,4.867,78411,0,29131,10075,1899,0,2928,33,2,4,1,1,2,0,21,0,5,5,76224,0,12480,25632,1195,0,2297,46,0,7,14,5,3,5,1,65.719,0.0,33.206,7.189,198784,0,90250,30640,1997,0,2605,44,6,78411,1895,3,27,6.960347729101308,19056.0,5.25,2.0,0.1666666666666666,0.336272040302267,0.163727959697733,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,26137.0,0.6,57.915,126.36,184.275,HOST_RECOVERY,1.0,184.275
A7266,13,Supreme,1044,Makati_BGC,45.0,51 - 60,7,13,9,4,90.79,0.309,11.25,33.003,535276,423,63496,202779,1451,2187,5104,130,71,98,49,18,18,13,677,18,96,176,3176267,46344,420531,905746,1522,2667,3850,108,0,103,139,72,24,24,19,977.955,37.846,123.746,238.37,4493860,95606,519894,1241767,1474,2693,3729,107,3,76458,204,1,12,6.951772164398911,32410.88775510204,6.908163265306122,1.380281690140845,5.916666666666667,0.2851605359373125,0.1323978746119265,0.0145907129343975,-1,0.0,DOWNGRADED_STAYER,0,0,0,41175.07692307692,0.6,57.915,125.28,183.195,HOST_RECOVERY,1.0,183.195
A367,1,Supreme,1040,Makati_BGC,57.6,51 - 60,1,1,0,1,1.798,0.0,0.0,1.798,8550,0,0,8550,89,0,0,89,22,33,20,7,4,2,86,1,0,71,576182,2067,0,462323,151,1727,0,91,0,45,58,39,12,5,2,134.3,20.216,0.152,88.414,699495,30169,277,530280,457,1829,1915,86,2,8544,87,1,1,6.947937068614969,17460.060606060608,2.606060606060606,1.5,1.8333333333333333,0.8023905640925958,0.0,0.0035874081453429,-1,0.0,DOWNGRADED_STAYER,0,1,1,8550.0,0.6,57.915,124.80000000000001,182.715,HOST_RECOVERY,1.0,182.715
A42778,1,Elite,1039,Makati_BGC,46.2,31 - 40,1,1,1,0,2.646,0.0,0.0,2.646,10669,0,0,10669,80,0,0,80,13,13,5,8,0,0,67,0,0,50,269274,0,919,190101,120,0,2140,87,0,20,22,12,8,1,1,85.245,0.0,1.869,60.305,343838,0,4228,231081,186,0,2334,87,2,10658,73,1,2,6.946975992135418,20713.384615384617,5.153846153846154,1.0,1.0833333333333333,0.7059760689854944,0.0034128805603214,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,10669.0,0.6,57.915,124.68,182.595,HOST_RECOVERY,1.0,182.595
A16839,5,Premium,1038,Makati_BGC,57.6,41 - 50,4,5,2,3,11.056,0.0,11.056,0.0,68686,0,68686,0,5078,0,5078,0,44,60,48,11,1,0,169,0,151,0,1006807,0,901540,0,5010,0,5030,18,0,80,105,80,19,6,0,279.579,0.0,261.483,0.116,1715862,0,1610594,0,5152,0,5174,18,1,17161,1268,1,2,6.946013991099227,16780.116666666665,2.816666666666667,1.3636363636363635,3.6666666666666665,0.0,0.895444707873505,0.0,-1,0.0,DOWNGRADED_STAYER,0,1,1,13737.2,0.6,57.915,124.56,182.475,HOST_RECOVERY,1.0,182.475
